song,lyrics
moreofthatjazz,  If you're feeling tired and lonely  Uninspired and lonely  If you're thinking how the days seem long  All you're given  Is what you've been given a thousand times before  Just more more  More of that jazz  More no more of that jazz  Give me no more  No more of that jazz    Only football gives us thrills  Rock 'n roll just pays the bills  Only our team is the real team  Bring out the dogs get on your feet  Lie on the floor  Kinda thinking I've heard that line before  Just more more  More of that jazz  More no more of that jazz  Give me no more no more of that jazz    Oh no matter fool  Get no business hanging around and telling lies  Bicycle races are coming your way  If you can't beat them join them  Fun it  Are you gonna let it all hang out?  Fat bottomed girls you make the rocking world go round            
playthegame,  Open up your mind and let me step inside  Rest your weary head and let your heart decide    It's so easy  When you know the rules  It's so easy   All you have to do  Is fall in love  Play the game   Everybody play the game of love (yeah)    When you're feeling down and your resistance is low  Light another cigarette and let yourself go    This is your life  Don't play hard to get  It's a free world  All you have to do is fall in love  Play the game   Everybody play the game of love    My game of love has just begun  Love runs from my head down to my toes  My love is pumping through my veins (play the game)  Driving me insane  Come  come  come  come  come play the game  play the game  play the game  play the game    Play the game  Everybody play the game of love    This is your life  Don't play hard to get  It's a free  free world  All you have to do is fall in love  Play the game  Play the game of love    Your life  Don't play hard to get  It's a free  free world  All you have to do is fall in love  Play the game  Play the game of love  of love            
dragonattack,  &quot;Take me to the room where the red's all red.  Take me out of my head&quot;'s what I said.    Hey  take me to the room where the green's all green.  And from what I've seen it's hot  it's mean.    I'm gonna use my stack.  It's gotta be Mack.  Gonna get me on the track.  Got a dragon on my back.    Take me to the room where the beat's all round.  Gonna eat that sound   Yeah  yeah  yeah  yeah.    Take me to the room where the black's all white.  And the white's all black. Take me back to the shack (shack).    She don't take no prisoner.  She gonna give me the business.  Got a dragon on my back.  Hey  it's a dragon attack.    Get down nice and slow.    Alright.    She's low down.  She don't take no prisoners.  Go down.  She gonna give me the business.  No time.  Yeah  chained to the rack!  Show time.  Got a dragon on my back.    Show down.  Go find another customer.  Slow down.  I gotta make my way.    On my way.  On my way.    Alright.    Alright.            
anotheronebitesthedust,  Oh! Let's go!    Steve walks warily down the street  With the brim pulled way down low  Ain't no sound but the sound of his feet  Machine guns ready to go    Are you ready  hey  are you ready for this?  Are you hanging on the edge of your seat?  Out of the doorway the bullets rip  To the sound of the beat    Another one bites the dust  Another one bites the dust  And another one gone  and another one gone  Another one bites the dust  Hey  I'm gonna get you  too  Another one bites the dust    How do you think I'm gonna get along  Without you when you're gone?  You took me for everything that I had  And kicked me out on my own    Are you happy  are you satisfied?  How long can you stand the heat?  Out of the doorway the bullets rip  To the sound of the beat    Look out!    Another one bites the dust  Another one bites the dust  And another one gone  and another one gone  Another one bites the dust  Hey  I'm gonna get you  too  Another one bites the dust    Hey!  Oh  take it  Bite the dust  Bite the dust  yeah    Another one bites the dust  Another one bites the dust  Another one bites the dust  Another one bites the dust    Shout!    There are plenty of ways that you can hurt a man  And bring him to the ground  You can beat him  you can cheat him  You can treat him bad and leave him when he's down    But I'm ready  yes  I'm ready for you  I'm standing on my own two feet  Out of the doorway the bullets rip  Repeating to the sound of the beat    Another one bites the dust  Another one bites the dust  And another one gone  and another one gone  Another one bites the dust  Hey  I'm gonna get you  too  Another one bites the dust    Shoot out  Alright            
needyourlovingtonight,  No I'll never  look back in anger  No I'll never  find me an answer  You promised me  you'd keep in touch  I read your letter and it hurt me so much  I said I'd never  never be angry with you    I don't wanna feel like a stranger  Cos I'd rather stay out of danger  I read your letter so many times  I got your meaning between the lines  I said I'd never  never be angry with you    I must be strong so she won't know how much I miss her    I only hope as time goes on  I'll forget her  My body's aching  can't sleep at night  I'm too exhausted to start a fight  And if I see her with another guy  I'll eat my heart out 'cos I love her  love her  love her  love her    Come on baby  let's get together  I'll love you baby  I'll love you forever  I'm trying hard to stay away  What made you change  what did I say?  Ooh I need your loving tonight ...            
crazylittlethingcalledlove,  This thing called love  I just can't handle it  This thing called love  I must get round to it  I ain't ready  Crazy little thing called love    This thing (this thing) called love (called love)  It cries (like a baby) in a cradle all night  It swings (ooh  ooh)  it jives (ooh  ooh)  It shakes all over like a jelly fish   I kinda like it  Crazy little thing called love    There goes my baby  She knows how to rock-n-roll  She drives me crazy  She gives me hot and cold fever  She leaves me in a cool  cool sweat    I gotta be cool  relax  get hip  Get on my tracks  Take a back seat  hitch-hike  And take a long ride on my motorbike  Until I'm ready  Crazy little thing called love    I gotta be cool  relax  get hip  And get on my tracks  Take a back seat  hitch-hike  And take a long ride on my motorbike  Until I'm ready (Ready Freddie)  Crazy little thing called love    This thing called love  I just can't handle it  This thing called love  I must get round to it  I ain't ready  Crazy little thing called love <i>[repeat to fade]</i>            
rockitprimejive,  When I hear that rock and roll   It gets down to my soul   When it's real rock and roll  oh rock and roll.    Oh Oh  Oh Oh   You really think they like to rock in space?  Well I don't know    What do you know?  What do you hear?  On the radio  I said Mama  I ain't crazy  I'm alright - alright  Hey  c'mon baby said it's alright  To rock and roll on a Saturday night  I said shoot and get your suit and come along with me  I said c'mon baby down come and rock and roll with me  I said yeah.    What do you do?  To get to feel alive?  You go downtown  And get some of that prime jive   I said Mama etc.  We're gonna rock it............ tonight.  (We want some prime jive)  (We want some prime jive)  We're gonna rock it tonight  C'mon honey  Get some of that prime jive  Get some of that  get  get down  C'mon honey - we're gonna rock it tonight.            
donttrysuicide,  A one two three four  one  Yeah  OK  Don't do it don't you try it baby  Don't do that don't don't don't  Don't do that  You got a good thing going now  Don't do it don't do it  Don't    Don't try suicide  Nobody's worth it  Don't try suicide  Nobody cares  Don't try suicide  You're just gonna hate it  Don't try suicide  Nobody gives a damn    So you think it's the easy way out  Think you're gonna slash your wrists  This time  Baby when you do it all you do is  Get on my tits  Don't do that try try try baby  Don't do that - you got a good thing going now  Don't do it don't do it - don't    Don't try suicide  Nobody's worth it  Don't try suicide  Nobody cares  Don't try suicide  You're just gonna hate it  Don't try suicide  Nobody gives a damn    You need help  Look at yourself you need help  You need life  So don't hang yourself  It's OK OK OK OK  You just can't be a prick teaser all of the time    A little bit attention - you got it  Need some affection - you got it  Suicide suicide suicide bid  Suicide suicide suicide bid  Suicide    Don't do it don't do it don't do it babe  Don't do it don't do it don't-do it  Don't put your neck on the line  Don't drown on me babe  Blow your brains out -  Don't do that - yeah  Don't do that  you got a good thing going baby  Don't do it (No) don't do it (No) don't    Don't try suicide  Nobody's worth it  Don't try suicide  Nobody cares  Don't try suicide  You're just gonna hate it  Don't try suicide  Nobody gives   Nobody gives  Nobody gives a damn    OK            
sailawaysweetsistertothesisterineverhad,  Hey little babe you're changing  Babe  are you feeling sore?  Ain't no use in pretending  You don't wanna play no more    It's plain that you ain't no baby  What would your mother say  You're all dressed up like a lady  How come you behave this way    Sail away sweet sister  Sail across the sea  Maybe you find somebody  Who loves you half as much as me  My heart is always with you  No matter what you do  Sail away sweet sister  Always be in love with you    Forgive me for what I told you  My heart makes a fool of me  You know I'll never hold you  I know that you gotta be free    Sail away sweet sister  Sail across the sea  Maybe you find somebody  Who loves you half as much as me  Take it the way you want it  But when they let you down my friend  Sail away sweet sister  Back to my arms again    Hot child don't you know  you're young -  You got your whole life ahead of you  Ooh-ah  you can throw it away too soon  Way too soon    Sail away sweet sister  Sail across the sea  Maybe you find somebody  Who's gonna love you half as much as me  yeah  My heart is always with you  No matter what you do  Sail away sweet sister  Always be in love with you            
comingsoon,  Oooooooooo <i>[xn]</i>  Oh Oh Oh <i>[xn]</i>  I get some headaches when I hit the heights  Like in the morning after crazy nights  Like some month in law in her nylon tights  They're always  They're always  They're always  They're always  Coming soon   Coming soon  on the outside  of the tracks   You take 'em  The same old babies with the same old toys   The neighbours screaming when the noise annoys   Somebody naggin' you when you're out with the boys  They're always  They're always  They're always  They're always  Coming soon   Coming soon  on the outside  of the track  Yeah  Yeah  Yeah.  Watch me now   They're always  They're always  They're always  They're always  Coming soon   Coming soon  on the outside  of the track  Yeah  Yeah  Yeah.            
saveme,  It started off so well  They said we made a perfect pair  I clothed myself in your glory and your love  How I loved you   How I cried    The years of care and loyalty  Were nothing but a sham it seems  The years belie we lived a lie  I'll love you 'til I die    Save me  save me  save me  I can't face this life alone  Save me  save me  save me  I'm naked and I'm far from home    The slate will soon be clean  I'll erase the memories   To start again with somebody new  Was it all wasted?  All that love?    I hang my head and I advertise  A soul for sale or rent  I have no heart  I'm cold inside  I have no real intent    Save me  save me  save me  I can't face this life alone  Save me  save me  oh  I'm naked and I'm far from home    Each night I cry  I still believe the lie  I'll love you 'til I die    Save  save  save me  Save  save  save me  Don't let me face my life alone  Save  save  save me  I'm naked and I'm far from home            
stayingpower,  Let me show it to you yeah    See what I got  I got a hell of a lot  Tell me what you feel  Is it real is it real?  You know I got what it takes  And I can take a lot  Did you hear the last call baby?    You and me got staying power yeah!  You and me we got staying power  Staying power (I got it I got it)    I wonder when we're gonna make it  I wonder when we're gonna shake it  Rock me baby rock me  C'mon you can shock me  Let's catch on to the groove  Make it move make it move  You know how to shake that thing  We'll work it work it work it  You and I can play ball baby    You and me got staying power yeah  You and me we got staying power    I wonder when we're gonna make it  I wonder when we're gonna shake it  Fire down below I'm just a regular dynamo  Want some smooth company  Don't lose control just hang on out with me  Got to get to know each other  But we got plenty of time  Did you hear the last call baby?    You and me got staying power yeah  You and me we got staying power    Power power power...    I wonder when we're gonna stick it  I wonder when we're gonna trick it  Blow baby blow let's get down and go go  Get yourself in the mood  Got to give a little bit of attitude  Baby don't you crash  Let just trash trash trash  Did you hear the last call baby?    You and me got staying power yeah  You and me we got staying power    (I like it) Staying power  Yeah yeah  Gotcha            
dancer,  I'm not invited to the party  Been sitting here all night  I'm all alone at the party  I don't feel all right  Ain't got no black coat  Ain't got no tie  I gotta shape up now  Come on baby you gotta know why    Take off!  Dancer dancer  I can't live with it I'm gonna die without it  Dancer dancer  Ain't no doubt about it  Dancer dancer  Why don't you kick off your dancing shoes  And come and ride with me? Cool    You're the life and soul of the funk-tion  It took me all night  To get hold of the right introduction  Blew me out of sight  I taste your lipstick  I look in your eyes  You feel fantastic  My body cries    Take off  Dancer dancer  I can't live with it I'm gonna die without it  Dancer dancer  Ain't no doubt about it  Dancer dancer  Why don't you kick off your dancing shoes  And come and ride with me?  Hot space let's go!    Yeah  can I see you baby?  Dancer dancer  I can't believe you're dancing  Dancer dancer  Can't take you home  I can't take you dancing  Dancer dancer  Bring out the funk and dance the night away  Dancer dancer  We got bully  Dancer dancer    Dancer dancer  Dancer dancer  Dance dance dance dance  Dancer dancer            
backchat,  Yeah  Get back  get back  Back chat  back chat  You burn all my energy  Back chat  back chat  Criticizing all you see  Back chat  back chat  Analysing what I say  Back chat  back chat  And you always get your way    Oh yeah! See what you've done to me  Back chat  back chat  It's driving me insane  Survival to the end  Knock you down  you come again  Talk back  talk back  You've got me on the wrack  Twisting ev'ry word I say  Wind me up and get your way  Fat chance I have of making a romance  If I'm ever goin' to win  Have to get the last word in  Take it from there    Twisting ev'ry word I say  Huh!  Wind me up and let me play  Back chat  back chat  You burn all my energy  Back chat  back chat  Criticizing all you see  Back chat  back chat  Analysing what I say  Back chat  back chat  And you always get your way    Come on now  Wake up  stand up  And drag yourself on out  Get down  get ready  Scream and shout    Back off me  be cool  And learn to change your ways  'Cause you're talking in your sleep  And you're walking in a daze  Don't push your luck  I'm ready to attack  'Cause when I'm trying to talk to you  All you do is just talk back  You stand so tall you don't frighten me at all  Don't talk back  don't talk back  Don't talk back just leave me alone    Back chat  back chat  You burn all my energy  Back chat  back chat  Criticizing all you see  Back chat  back chat  Analysing what I say  Back chat  back chat  And you always get your way    Yes you do  Yes you do baby  Come on back chat  back chat  Back chat  back chat  Back chat  back chat  Go for it  go for it  go for it baby  Back chat  back chat  You're giving me the runaround  Criticizing (oh yeah)  analysing (oh yeah)  Yeah merci beaucoup  Get on down...            
bodylanguage,  Give me your body  Give me your body body  Give me your body  Don't talk don't talk don't talk don't talk  Baby don't talk  Body language  Body language  Body language    Give me your body  Just give me  yeah  your body  Give me  yeah  your body  Don't talk  Body language huh huh  Body language  Body language    You got red lips snakes in your eyes  Long legs great thighs  You got the cutest ass I've ever seen  Knock me down for a six any time    Look at me I gotta case of body language  Look at me I gotta case of body language  Look at me I gotta case of body language  Look at me I gotta case of body language  Of body language  Of body language    Yeah sexy body sexy sexy body  I want your body  Baby you're hot    Body language...            
actionthisday,  This street honey is a mean street  Living in this street honey needs a mean streak  We've got criminals living in this street  But there's a heart beat pulse  That keeps on pumping  Like a juke box playing the same dead record  Or a radio in the corner keeps blaring  I got a feeling this world is using me    This town honey is a dead town  Living in this town honey is a let down  Coming to this town honey is a show down  But there's a heart beat pulse  That keeps on pumping some sunshine ray  Through a crack in the shutter  Or a sight of a light at the end of a tunnel  Still there's a feeling this world is using me    Action this day action this night  Oh we've gotta learn to love to live  You can't say it ain't right  Action this day action this night  Oh you've got the power you've got the power  You've got the power to love to live  You can't say it ain't right    Your mind honey is a bleak place  Living in your minds living in a blank space  Your mind is coming from a rat race  But there's a heart beat pulse  That keeps on pumping  Like a juke box playing the same dead record  Or a radio in the corner keeps blaring  I got a feeling that just won't quit  This world is using me    Action this day action this night  Oh we've gotta learn to love to live  We can't say it ain't right  Action this day action this night  Oh you've got the power you've got the power  You've got the power to love to live  You can't say it ain't right    Action action this day  Action this day  Action action this day  Action this day  Living in the street...  Action...            
putoutthefire,  They called him a hero  In the land of the free  But he wouldn't shake my hand boy  He disappointed me  So I got my hand gun  And I blew him away  That critter was a bad guy  And I had to make him pay    You might fear for my reason  I don't care what they say  Look out baby it's the season  For the mad masquerade  Put out the fire put out the fire put out the fire  Oh you need a bullet like a hole in the head  Put out the fire put out the fire put out the fire  Don't believe what your grand-daddy said    She was my lover  It was a shame that she died  But the constitution's right on my side  'Cause I caught my lover in the neighbours bed  I got retribution  Filled 'em all full of lead    I've been told it's the fashion  To let me on the streets again  It's nothing but a crime of passion  And I'm not to blame  Put out the fire put out the fire put out the fire  You need a weapon like a hole in the head  Put out the fire put out the fire baby put out the fire  And let your sons and daughters sleep sound in their beds    You know a gun never killed nobody  You can ask anyone  People get shot by people  People with guns  Put out the fire put out the fire put out the fire  You need a gun like a hole in the head  Put out the fire put out the fire put out the fire  Just tell me that old fashioned gun law is dead    Shoot shoot...            
lifeisrealsongforlennon,  Guilt stains on my pillow  Blood on my terraces  Torsos in my closet  Shadows from my past  Life is real life is real  Life is real so real    Sleeping is my leisure  Waking up in a minefield  Dream in just a pleasure dome  Love is a roulette wheel  Life is real life is real  Life is real oh yeah    Success is my breathing space  I brought it on myself  I will price it I will cash it  I can take it or leave it  Loneliness is my hiding place  Breast feeding myself  What more can I say?  I have swallowed the bitter pill  I can taste it I can taste it  Life is real life is real  Life is real    Music will be my mistress  Loving like a whore  Lennon is a genius  Living in ev'ry pore  Life is real life is real  Life is real so real  Life is cruel life is a bitch  Life is real so real  Life is real life is real yeah  Life is real            
callingallgirls,  Calling all boys calling all girls  Calling all people on streets  Around the world  Take this message a message for you  This message is old yeah  This message is true this message is  This message is this message is this message is    Love take a message of love  Far and near  Take a message of love for all to hear  For all to hear    Some sleepless nights in wait for you  Some foreign presence you feel  Comes creeping through  Some stream of hope  The whole world through  Spread like some silent disease  You'll get yours too  This message is this message is  This message is this message is    Love take a message of love  Far and near  Take a message of love for all to hear  For all to hear    Love take a message of love  Far and near  Take a message of love for all to hear  For all to hear    Calling all boys calling all girls  Calling all boys calling all girls  Calling all girls            
laspalabrasdeamorthewordsoflove,  Don't touch me now  Don't hold me now  Don't break the spell Darling  Now you are near  Look in my eyes and speak to me  The special promises I want to hear    Las palabras de amor  Let me hear the words of love  Despacito mi amor  Love me slow and gently    One foolish world  so many souls  Senselessly hurled through  The never ending cold  And all for fear and all for greed  Speak any tongue  But for God's sake we need    Las palabras de amor  Let me hear the words of love  Despacito mi amor  Let me know  this night and evermore    This room is bare  This night is cold  We're far apart and I'm growing old  But while we live  We'll meet again  So then my love  We may whisper once more  It's you I adore    Las palabras de amor  Let me hear the words of love  Despacito mi amor  Touch me now  Las palabras de amor  Let us share the words of love  For evermore  For evermore  For evermore            
coolcat,  Ooh yeah yeah yeah yeah!  You're taking all the sunshine away  Making out like you're the main line (I knew that)  'Cause you're a cool cat  Tapping on the toe with a new hat  Ooh just cruising  Driving along like the swing king  Feeling the beat of my heart huh!  Feeling the beat of my heart    Ooh you're a cool cat  Coming on strong with all the chit chat  Ooh you're alright  Hanging out and stealing all the limelight  Ooh messing with the beat of my heart yeah!    Ooh you used to be a mean kid  Ooh making such a deal of life  Ooh you were wishing and hoping and waiting  To really hit the big time  But did it happen? happen no!  You're speeding to fast slow down  Slow down you'd better slow down slow down    You really know how to set the mood  And you really get inside the groove  Cool cat tapping on the toe with a new hat  Ooh just cruising  Driving along like the swing king  Feeling the beat of my heart  Feeling the beat of my heart yeah!  Feeling the beat of my heart  Can you feel it?  Feeling the beat of my heart  Feeling the beat of my heart  Ooh feeling feeling feeling  Feeling ev'ry feeling            
underpressure,  Pressure: pushing down on me   Pressing down on you  no man ask for.  Under pressure that burns a building down   Splits a family in two   Puts people on streets.    That's OK.    That's the terror of knowing  What this world is about.  Watching some good friends screaming   &quot;Let me out!&quot;    Tomorrow gets me higher.  Pressure on people  people on streets.    OK.    Chippin' around  kick my brains 'round the floor.  These are the days: it never rains but it pours.    People on streets.  People on streets.    It's the terror of knowing  What this world is about.  Watching some good friends screaming   &quot;Let me out!&quot;    Tomorrow gets me higher  higher  high!  Pressure on people  people on streets.    Turned away from it all like a blind man.  Sat on a fence  but it don't work.  Keep coming up with love  but it's so slashed and torn.    Why  why  why!?    Love  love  love  love  love.    Insanity laughs under pressure.  We're breaking.    Can't we give ourselves one more chance?  Why can't we give love that one more chance?  Why can't we give love  give love  give love  give love  give love  give love  give love  give love  give love?    'Cause love's such an old-fashioned word   And love dares you to care for the people on the edge of the night   And love dares you to change our way of caring about ourselves.  This is our last dance.  This is our last dance.  This is ourselves.    Under pressure.  Under pressure.  Pressure.            
